delta_t_days,train_accuracy,test_accuracy,train_precision_0,train_recall_0,train_f1_0,test_precision_0,test_recall_0,test_f1_0,train_precision_1,train_recall_1,train_f1_1,test_precision_1,test_recall_1,test_f1_1
60.0,1.0,0.9861111111111112,1.0,1.0,1.0,0.9861111111111112,1.0,0.993006993006993,1.0,1.0,1.0,0.0,0.0,0.0
90.0,1.0,0.9861111111111112,1.0,1.0,1.0,0.9859154929577465,1.0,0.9929078014184397,1.0,1.0,1.0,1.0,0.5,0.6666666666666666
120.0,1.0,0.875,1.0,1.0,1.0,0.9402985074626866,0.9264705882352942,0.9333333333333333,1.0,1.0,1.0,0.0,0.0,0.0
150.0,0.9933333333333333,0.8888888888888888,1.0,0.9866666666666667,0.9932885906040269,0.9130434782608695,0.9692307692307692,0.9402985074626866,0.9868421052631579,1.0,0.9933774834437086,0.3333333333333333,0.14285714285714285,0.2
180.0,0.993103448275862,0.9027777777777778,1.0,0.9862068965517241,0.9930555555555556,0.9242424242424242,0.9682539682539683,0.9457364341085271,0.9863945578231292,1.0,0.9931506849315068,0.6666666666666666,0.4444444444444444,0.5333333333333333
