Innovator_Out_Degree_Centrality,Innovator_Eigenvector_Centrality,Innovator_Betweenness_Centrality,Innovator_Closeness_Centrality,Innovator_K_Shell,Early_Adopters_Avg_Out_Degree,Early_Adopters_Avg_Eigenvector,Early_Adopters_Avg_Betweenness,Early_Adopters_Avg_Closeness,Early_Adopters_Avg_K_Shell,Early_Adopters_Avg_Forward_Weight,Early_Adopters_Forward_Neighborhood_Size,Num_Components,Diameter_Score,Max_Diameter,ASPL_Score,Max_ASPL,Network_Diameter,Network_Density,Clustering_Coefficient,Avg_Shortest_Path_Length,Num_Communities,Gini_Impurity,Avg_Time_To_Adoption,Topic_ID,Node_Type,Node_ID
6,0.47043325919125706,0.0,0.8571428571428571,7,2.875,0.12870310282310776,0.10119047619047618,0.4107142857142857,7.0,0.48658333333333337,6,1,,,,,1.0,0.5178571428571429,1.0,1.1002886002886003,1,0.0,16.179861111111112,29325,Early_Adopter,67146
5,0.2587240456363788,0.0,0.7142857142857143,7,2.875,0.12870310282310776,0.10119047619047618,0.4107142857142857,7.0,0.48658333333333337,6,1,,,,,1.0,0.5178571428571429,1.0,1.1002886002886003,1,0.0,15.609722222222222,29325,Early_Adopter,67330
4,0.13791017410573492,0.0,0.5714285714285714,7,2.875,0.12870310282310776,0.10119047619047618,0.4107142857142857,7.0,0.48658333333333337,6,1,,,,,1.0,0.5178571428571429,1.0,1.1002886002886003,1,0.0,15.208333333333334,29325,Early_Adopter,67248
3,0.07151953243913113,0.2857142857142857,0.42857142857142855,7,2.875,0.12870310282310776,0.10119047619047618,0.4107142857142857,7.0,0.48658333333333337,6,1,,,,,1.0,0.5178571428571429,1.0,1.1002886002886003,1,0.0,3.7416666666666667,29325,Early_Adopter,68478
2,0.0363296429720686,0.23809523809523808,0.2857142857142857,7,2.875,0.12870310282310776,0.10119047619047618,0.4107142857142857,7.0,0.48658333333333337,6,1,,,,,1.0,0.5178571428571429,1.0,1.1002886002886003,1,0.0,-2.5166666666666666,29325,Early_Adopter,67418
1,0.018236056080097183,0.14285714285714285,0.14285714285714285,7,2.875,0.12870310282310776,0.10119047619047618,0.4107142857142857,7.0,0.48658333333333337,6,1,,,,,1.0,0.5178571428571429,1.0,1.1002886002886003,1,0.0,-15.621527777777779,29325,Early_Adopter,67239
1,0.018236056080097183,0.0,0.14285714285714285,7,2.875,0.12870310282310776,0.10119047619047618,0.4107142857142857,7.0,0.48658333333333337,6,1,,,,,1.0,0.5178571428571429,1.0,1.1002886002886003,1,0.0,-15.670833333333333,29325,Early_Adopter,67244
1,0.018236056080097183,0.14285714285714285,0.14285714285714285,7,2.875,0.12870310282310776,0.10119047619047618,0.4107142857142857,7.0,0.48658333333333337,6,1,,,,,1.0,0.5178571428571429,1.0,1.1002886002886003,1,0.0,-15.621527777777779,29325,Early_Adopter,67239
3,0.7066530004787492,0.0,1.0,3,1.75,0.3636318564963564,0.0,0.5833333333333334,3.0,0.9244444444444445,4,1,,,,,1.0,0.5833333333333334,1.0,1.0944976076555024,1,0.0,1.7886111111111112,29326,Innovator,67038
3,0.7066530004787492,0.0,1.0,3,1.75,0.3636318564963564,0.0,0.5833333333333334,3.0,0.9244444444444445,4,1,,,,,1.0,0.5833333333333334,1.0,1.0944976076555024,1,0.0,1.4205555555555556,29326,Early_Adopter,67146
